genome.genome_id	genome.biosample_accession	genome.geographic_location	genome.isolation_country	genome.collection_date	genome.collection_year
1733.7746	SAMEA3443188	London	United Kingdom	2009-2017	
1733.7748	SAMEA3443190	London	United Kingdom	2009-2017	
1733.7750	SAMEA3443192	London	United Kingdom	2009-2017	
1733.7752	SAMEA3443194	London	United Kingdom	2009-2017	
1733.7754	SAMEA3443360	London	United Kingdom	2009-2017	
1733.7756	SAMEA3443362	London	United Kingdom	2009-2017	
1733.7759	SAMEA3443365	London	United Kingdom	2009-2017	
1733.7764	SAMEA3443370	London	United Kingdom	2009-2017	
1733.7766	SAMEA3443372	London	United Kingdom	2009-2017	
1733.7767	SAMEA3443373	London	United Kingdom	2009-2017	
1733.7769	SAMEA3443375	London	United Kingdom	2009-2017	
1733.7771	SAMEA3443784	London	United Kingdom	2009-2017	
1733.7770	SAMEA3443785	London	United Kingdom	2009-2017	
1733.7772	SAMEA3443786	London	United Kingdom	2009-2017	
1733.7783	SAMEA3444029	London	United Kingdom	2009-2017	
1733.7792	SAMEA3444042	London	United Kingdom	2009-2017	
1733.7796	SAMEA3444046	London	United Kingdom	2009-2017	
1733.7797	SAMEA3444047	London	United Kingdom	2009-2017	
1733.7798	SAMEA3444048	London	United Kingdom	2009-2017	
1733.7799	SAMEA3444049	London	United Kingdom	2009-2017	
1733.7801	SAMEA3444051	London	United Kingdom	2009-2017	
1733.7805	SAMEA3444055	London	United Kingdom	2009-2017	
1733.7806	SAMEA3444104	London	United Kingdom	2009-2017	
1733.7807	SAMEA3444105	London	United Kingdom	2009-2017	
1733.7809	SAMEA3444107	London	United Kingdom	2009-2017	
1733.7810	SAMEA3444108	London	United Kingdom	2009-2017	
1733.7813	SAMEA3444111	London	United Kingdom	2009-2017	
1733.7819	SAMEA3444486	London	United Kingdom	2009-2017	
1733.7822	SAMEA3444489	London	United Kingdom	2009-2017	
1733.7825	SAMEA3444492	London	United Kingdom	2009-2017	
1733.7826	SAMEA3444494	Bilthoven	Netherlands	1993-2016	
1733.7827	SAMEA3444495	Bilthoven	Netherlands	1993-2016	
1733.7833	SAMEA3444513	Bilthoven	Netherlands	1993-2016	
1733.7837	SAMEA3444535	Bilthoven	Netherlands	1993-2016	
1733.7838	SAMEA3444542	Bilthoven	Netherlands	1993-2016	
1733.7840	SAMEA3444544	Bilthoven	Netherlands	1993-2016	
1733.7844	SAMEA3444548	Bilthoven	Netherlands	1993-2016	
1733.7845	SAMEA3444549	Bilthoven	Netherlands	1993-2016	
1733.7847	SAMEA3444551	Bilthoven	Netherlands	1993-2016	
1733.7848	SAMEA3444552	Bilthoven	Netherlands	1993-2016	
1733.7851	SAMEA3444555	Bilthoven	Netherlands	1993-2016	
1733.7852	SAMEA3444867	Bilthoven	Netherlands	1993-2016	
1733.7855	SAMEA3444870	Bilthoven	Netherlands	1993-2016	
1733.7861	SAMEA3445000	Bilthoven	Netherlands	1993-2016	
1733.7865	SAMEA3445004	Bilthoven	Netherlands	1993-2016	
1733.7866	SAMEA3445005	Bilthoven	Netherlands	1993-2016	
1733.7870	SAMEA3445009	Bilthoven	Netherlands	1993-2016	
1733.7880	SAMEA3445044	Bilthoven	Netherlands	1993-2016	
1733.7882	SAMEA3445046	Bilthoven	Netherlands	1993-2016	
1733.7884	SAMEA3445048	Bilthoven	Netherlands	1993-2016	
1733.7887	SAMEA3445051	Bilthoven	Netherlands	1993-2016	
1733.7889	SAMEA3445052	Bilthoven	Netherlands	1993-2016	
1733.7893	SAMEA3445235	Bilthoven	Netherlands	1993-2016	
1733.7895	SAMEA3445238	Bilthoven	Netherlands	1993-2016	
1733.7900	SAMEA3445243	Bilthoven	Netherlands	1993-2016	
1733.7901	SAMEA3445244	Bilthoven	Netherlands	1993-2016	
1733.7903	SAMEA3445246	Bilthoven	Netherlands	1993-2016	
1733.7905	SAMEA3445248	Bilthoven	Netherlands	1993-2016	
1733.7915	SAMEA3445265	Bilthoven	Netherlands	1993-2016	
1733.7918	SAMEA3445268	Bilthoven	Netherlands	1993-2016	
1733.7920	SAMEA3445270	Bilthoven	Netherlands	1993-2016	
1733.7922	SAMEA3445272	Bilthoven	Netherlands	1993-2016	
1733.7923	SAMEA3445273	Bilthoven	Netherlands	1993-2016	
1733.7933	SAMEA3445338	Bilthoven	Netherlands	1993-2016	
1733.7935	SAMEA3445340	Bilthoven	Netherlands	1993-2016	
1733.7939	SAMEA3445344	Bilthoven	Netherlands	1993-2016	
1733.7949	SAMEA3445354	Bilthoven	Netherlands	1993-2016	
1733.7951	SAMEA3445355	Bilthoven	Netherlands	1993-2016	
1733.7950	SAMEA3446424	Bilthoven	Netherlands	1993-2016	
1733.7955	SAMEA3446428	Bilthoven	Netherlands	1993-2016	
1733.7960	SAMEA3446433	Bilthoven	Netherlands	1993-2016	
1733.7962	SAMEA3446435	Bilthoven	Netherlands	1993-2016	
1733.7964	SAMEA3446528	Bilthoven	Netherlands	1993-2016	
1733.7974	SAMEA3446540	Bilthoven	Netherlands	1993-2016	
1733.7986	SAMEA3446552	Bilthoven	Netherlands	1993-2016	
1733.7988	SAMEA3446554	Bilthoven	Netherlands	1993-2016	
1733.7989	SAMEA3446555	Bilthoven	Netherlands	1993-2016	
1733.7995	SAMEA3446744	Bilthoven	Netherlands	1993-2016	
1733.7998	SAMEA3446747	Bilthoven	Netherlands	1993-2016	
1733.7999	SAMEA3446748	Bilthoven	Netherlands	1993-2016	
1733.8001	SAMEA3446750	Bilthoven	Netherlands	1993-2016	
1733.8003	SAMEA3446751	Bilthoven	Netherlands	1993-2016	
1733.8005	SAMEA3446754	Bilthoven	Netherlands	1993-2016	
1733.8006	SAMEA3446755	Bilthoven	Netherlands	1993-2016	
1733.8007	SAMEA3447558	Bilthoven	Netherlands	1993-2016	
1733.8008	SAMEA3447559	Bilthoven	Netherlands	1993-2016	
1733.8009	SAMEA3447560	Bilthoven	Netherlands	1993-2016	
1733.8013	SAMEA3447564	Bilthoven	Netherlands	1993-2016	
1733.8015	SAMEA3447566	Bilthoven	Netherlands	1993-2016	
1733.8019	SAMEA3447570	Bilthoven	Netherlands	1993-2016	
1733.8023	SAMEA3447574	Bilthoven	Netherlands	1993-2016	
1733.8024	SAMEA3447575	Bilthoven	Netherlands	1993-2016	
1733.8029	SAMEA3447581	Bilthoven	Netherlands	1993-2016	
1733.8032	SAMEA3447583	Bilthoven	Netherlands	1993-2016	
1733.8033	SAMEA3447585	Bilthoven	Netherlands	1993-2016	
1733.8040	SAMEA3447592	Bilthoven	Netherlands	1993-2016	
1733.8044	SAMEA3447597	Bilthoven	Netherlands	1993-2016	
1733.8049	SAMEA3447602	Bilthoven	Netherlands	1993-2016	
1733.8050	SAMEA3447603	Bilthoven	Netherlands	1993-2016	
1733.8053	SAMEA3447606	Bilthoven	Netherlands	1993-2016	
1733.8054	SAMEA3447607	Bilthoven	Netherlands	1993-2016	
1733.8058	SAMEA3447611	Bilthoven	Netherlands	1993-2016	
1733.8064	SAMEA3447618	Bilthoven	Netherlands	1993-2016	
1733.8065	SAMEA3447619	Bilthoven	Netherlands	1993-2016	
1733.8066	SAMEA3447620	Bilthoven	Netherlands	1993-2016	
1733.8071	SAMEA3447625	Bilthoven	Netherlands	1993-2016	
1733.8074	SAMEA3447628	Bilthoven	Netherlands	1993-2016	
1733.8076	SAMEA3447630	Bilthoven	Netherlands	1993-2016	
1733.8077	SAMEA3447631	Bilthoven	Netherlands	1993-2016	
1733.8078	SAMEA3447632	Bilthoven	Netherlands	1993-2016	
1733.8080	SAMEA3447634	Bilthoven	Netherlands	1993-2016	
1733.8081	SAMEA3447635	Bilthoven	Netherlands	1993-2016	
1733.8086	SAMEA3447641	Bilthoven	Netherlands	1993-2016	
1733.8087	SAMEA3447642	Bilthoven	Netherlands	1993-2016	
1733.8089	SAMEA3447644	Bilthoven	Netherlands	1993-2016	
1733.8090	SAMEA3447645	Bilthoven	Netherlands	1993-2016	
1733.8091	SAMEA3447646	Bilthoven	Netherlands	1993-2016	
1733.8092	SAMEA3447647	Bilthoven	Netherlands	1993-2016	
1733.8096	SAMEA3447652	Bilthoven	Netherlands	1993-2016	
1733.8098	SAMEA3447653	Bilthoven	Netherlands	1993-2016	
1733.8100	SAMEA3447655	Bilthoven	Netherlands	1993-2016	
1733.8106	SAMEA3448151	Bilthoven	Netherlands	1993-2016	
1733.8109	SAMEA3448155	Bilthoven	Netherlands	1993-2016	
1733.8111	SAMEA3448195	Bilthoven	Netherlands	1993-2016	
1733.8113	SAMEA3448210	Bilthoven	Netherlands	1993-2016	
1733.8116	SAMEA3448213	Bilthoven	Netherlands	1993-2016	
1733.8117	SAMEA3448214	Bilthoven	Netherlands	1993-2016	
1733.8118	SAMEA3448215	Bilthoven	Netherlands	1993-2016	
1733.8122	SAMEA3448723	Bilthoven	Netherlands	1993-2016	
1733.8128	SAMEA3448729	Bilthoven	Netherlands	1993-2016	
1733.8135	SAMEA3448742	Bilthoven	Netherlands	1993-2016	
1733.8136	SAMEA3448743	Bilthoven	Netherlands	1993-2016	
1733.8141	SAMEA3448748	Bilthoven	Netherlands	1993-2016	
1733.8144	SAMEA3448751	Bilthoven	Netherlands	1993-2016	
1733.8145	SAMEA3448752	Bilthoven	Netherlands	1993-2016	
1733.8161	SAMEA3449412	Bilthoven	Netherlands	1993-2016	
1733.8171	SAMEA3449448	Bilthoven	Netherlands	1993-2016	
1733.8173	SAMEA3449450	Bilthoven	Netherlands	1993-2016	
1733.8174	SAMEA3449451	Bilthoven	Netherlands	1993-2016	
1733.8178	SAMEA3449455	Bilthoven	Netherlands	1993-2016	
1733.8180	SAMEA3449482	Bilthoven	Netherlands	1993-2016	
1733.8182	SAMEA3449484	Bilthoven	Netherlands	1993-2016	
1733.8183	SAMEA3449485	Bilthoven	Netherlands	1993-2016	
1733.8184	SAMEA3449486	Bilthoven	Netherlands	1993-2016	
1733.8185	SAMEA3449487	Bilthoven	Netherlands	1993-2016	
1733.8186	SAMEA3449488	Bilthoven	Netherlands	1993-2016	
1733.8190	SAMEA3449492	Bilthoven	Netherlands	1993-2016	
1733.8193	SAMEA3449495	Bilthoven	Netherlands	1993-2016	
1733.8199	SAMEA3449651	Bilthoven	Netherlands	1993-2016	
1733.8202	SAMEA3449654	Bilthoven	Netherlands	1993-2016	
1733.8203	SAMEA3449655	Bilthoven	Netherlands	1993-2016	
1733.8204	SAMEA3449708	Bilthoven	Netherlands	1993-2016	
1733.8205	SAMEA3449709	Bilthoven	Netherlands	1993-2016	
1733.8206	SAMEA3449710	Bilthoven	Netherlands	1993-2016	
1733.8207	SAMEA3449711	Bilthoven	Netherlands	1993-2016	
1733.8209	SAMEA3449713	Bilthoven	Netherlands	1993-2016	
1733.8215	SAMEA3449881	Bilthoven	Netherlands	1993-2016	
1733.8219	SAMEA3449885	Bilthoven	Netherlands	1993-2016	
1733.8221	SAMEA3449887	Bilthoven	Netherlands	1993-2016	
1733.8222	SAMEA3449888	Bilthoven	Netherlands	1993-2016	
1733.8232	SAMEA3450050	Bilthoven	Netherlands	1993-2016	
1733.8238	SAMEA3450060	Bilthoven	Netherlands	1993-2016	
1733.8239	SAMEA3450061	Bilthoven	Netherlands	1993-2016	
1733.8241	SAMEA3450063	Bilthoven	Netherlands	1993-2016	
1733.8247	SAMEA3450069	Bilthoven	Netherlands	1993-2016	
1733.8256	SAMEA3451115	Bilthoven	Netherlands	1993-2016	
1733.8258	SAMEA3451142	Bilthoven	Netherlands	1993-2016	
1733.8263	SAMEA3451147	Bilthoven	Netherlands	1993-2016	
1733.8264	SAMEA3451148	Bilthoven	Netherlands	1993-2016	
1733.8266	SAMEA3451150	Bilthoven	Netherlands	1993-2016	
1733.8272	SAMEA3451192	Bilthoven	Netherlands	1993-2016	
1733.8277	SAMEA3451199	Bilthoven	Netherlands	1993-2016	
1733.8278	SAMEA3451200	Bilthoven	Netherlands	1993-2016	
1733.8280	SAMEA3451202	Bilthoven	Netherlands	1993-2016	
1733.8284	SAMEA3451206	Bilthoven	Netherlands	1993-2016	
1733.8286	SAMEA3451208	Bilthoven	Netherlands	1993-2016	
1733.8287	SAMEA3451209	Bilthoven	Netherlands	1993-2016	
1733.8292	SAMEA3451214	Bilthoven	Netherlands	1993-2016	
1733.8300	SAMEA3451223	Bilthoven	Netherlands	1993-2016	
1733.8305	SAMEA3451228	Bilthoven	Netherlands	1993-2016	
1733.8306	SAMEA3451229	Bilthoven	Netherlands	1993-2016	
1733.8315	SAMEA3451339	Bilthoven	Netherlands	1993-2016	
1733.8316	SAMEA3451340	Bilthoven	Netherlands	1993-2016	
1733.8318	SAMEA3451341	Bilthoven	Netherlands	1993-2016	
1733.8319	SAMEA3451343	Bilthoven	Netherlands	1993-2016	
1733.8320	SAMEA3451344	Bilthoven	Netherlands	1993-2016	
1733.8321	SAMEA3451345	Bilthoven	Netherlands	1993-2016	
1733.8324	SAMEA3451348	Bilthoven	Netherlands	1993-2016	
1733.8325	SAMEA3451349	Bilthoven	Netherlands	1993-2016	
1733.8329	SAMEA3451353	Bilthoven	Netherlands	1993-2016	
1733.8330	SAMEA3451354	Bilthoven	Netherlands	1993-2016	
1733.8340	SAMEA3457707	Bilthoven	Netherlands	1993-2016	
1733.8342	SAMEA3457708	Bilthoven	Netherlands	1993-2016	
1733.8344	SAMEA3457711	Bilthoven	Netherlands	1993-2016	
1733.8346	SAMEA3457713	Bilthoven	Netherlands	1993-2016	
1733.8352	SAMEA3457763	Bilthoven	Netherlands	1993-2016	
1733.1196	SAMEA1403822	Samara	Russia	2008-2010	
1733.1197	SAMEA1403897	Samara	Russia	2008-2010	
1733.1201	SAMEA1403668	Samara	Russia	2008-2010	
1733.1203	SAMEA1403620	Samara	Russia	2008-2010	
1733.1206	SAMEA1403588	Samara	Russia	2008-2010	
1733.1207	SAMEA1403608	Samara	Russia	2008-2010	
1733.1208	SAMEA1403993	Samara	Russia	2008-2010	
1733.1209	SAMEA1403962	Samara	Russia	2008-2010	
1733.1210	SAMEA1403871	Samara	Russia	2008-2010	
1733.1214	SAMEA1403792	Samara	Russia	2008-2010	
1733.1215	SAMEA1403679	Samara	Russia	2008-2010	
1733.1216	SAMEA1403677	Samara	Russia	2008-2010	
1733.1217	SAMEA1403686	Samara	Russia	2008-2010	
1733.1218	SAMEA1403694	Samara	Russia	2008-2010	
1733.1221	SAMEA1403719	Samara	Russia	2008-2010	
1733.1227	SAMEA1404040	Samara	Russia	2008-2010	
1733.1228	SAMEA1403933	Samara	Russia	2008-2010	
1733.1232	SAMEA1403848	Samara	Russia	2008-2010	
1733.1234	SAMEA1403837	Samara	Russia	2008-2010	
1733.1236	SAMEA1403763	Samara	Russia	2008-2010	
1733.1237	SAMEA1403743	Samara	Russia	2008-2010	
1733.1240	SAMEA1403643	Samara	Russia	2008-2010	
1733.1241	SAMEA1403582	Samara	Russia	2008-2010	
1733.1242	SAMEA1403573	Samara	Russia	2008-2010	
1733.1244	SAMEA1403550	Samara	Russia	2008-2010	
1733.1248	SAMEA1403896	Samara	Russia	2008-2010	
1733.1253	SAMEA1403852	Samara	Russia	2008-2010	
1733.1261	SAMEA1403690	Samara	Russia	2008-2010	
1733.1262	SAMEA1403670	Samara	Russia	2008-2010	
1733.1264	SAMEA1403975	Samara	Russia	2008-2010	
1733.1265	SAMEA1403979	Samara	Russia	2008-2010	
1733.1266	SAMEA1403968	Samara	Russia	2008-2010	
1733.1270	SAMEA1404024	Samara	Russia	2008-2010	
1733.1275	SAMEA1403918	Samara	Russia	2008-2010	
1733.1278	SAMEA1403688	Samara	Russia	2008-2010	
1733.1279	SAMEA1403673	Samara	Russia	2008-2010	
1733.1284	SAMEA1403666	Samara	Russia	2008-2010	
1733.1286	SAMEA1403951	Samara	Russia	2008-2010	
1733.1289	SAMEA1403989	Samara	Russia	2008-2010	
1733.1292	SAMEA1403863	Samara	Russia	2008-2010	
1733.1296	SAMEA1403782	Samara	Russia	2008-2010	
1733.1298	SAMEA1403756	Samara	Russia	2008-2010	
1733.1303	SAMEA1403810	Samara	Russia	2008-2010	
1733.1305	SAMEA1404033	Samara	Russia	2008-2010	
1733.1306	SAMEA1404029	Samara	Russia	2008-2010	
1733.1308	SAMEA1404048	Samara	Russia	2008-2010	
1733.1310	SAMEA1403644	Samara	Russia	2008-2010	
1733.1312	SAMEA1403566	Samara	Russia	2008-2010	
1733.1317	SAMEA1403854	Samara	Russia	2008-2010	
1733.1320	SAMEA1403883	Samara	Russia	2008-2010	
1733.1323	SAMEA1403916	Samara	Russia	2008-2010	
1733.1331	SAMEA1403610	Samara	Russia	2008-2010	
1733.1332	SAMEA1403599	Samara	Russia	2008-2010	
1733.1334	SAMEA1403700	Samara	Russia	2008-2010	
1733.1337	SAMEA1403685	Samara	Russia	2008-2010	
1733.1341	SAMEA1403777	Samara	Russia	2008-2010	
1733.1342	SAMEA1403667	Samara	Russia	2008-2010	
1733.1348	SAMEA1403985	Samara	Russia	2008-2010	
1733.1353	SAMEA1403920	Samara	Russia	2008-2010	
1733.1356	SAMEA1403906	Samara	Russia	2008-2010	
1733.1357	SAMEA1403585	Samara	Russia	2008-2010	
1733.1362	SAMEA1403580	Samara	Russia	2008-2010	
1733.1370	SAMEA1403838	Samara	Russia	2008-2010	
1733.1371	SAMEA1403830	Samara	Russia	2008-2010	
1733.1376	SAMEA1403576	Samara	Russia	2008-2010	
1733.1378	SAMEA1403561	Samara	Russia	2008-2010	
1733.1380	SAMEA1403595	Samara	Russia	2008-2010	
1733.1387	SAMEA1403892	Samara	Russia	2008-2010	
1733.1389	SAMEA1403911	Samara	Russia	2008-2010	
1733.1390	SAMEA1403952	Samara	Russia	2008-2010	
1733.1394	SAMEA1403984	Samara	Russia	2008-2010	
1733.1396	SAMEA1403669	Samara	Russia	2008-2010	
1733.1397	SAMEA1403671	Samara	Russia	2008-2010	
1733.1398	SAMEA1403757	Samara	Russia	2008-2010	
1733.1399	SAMEA1403762	Samara	Russia	2008-2010	
1733.1400	SAMEA1403767	Samara	Russia	2008-2010	
1733.1401	SAMEA1403753	Samara	Russia	2008-2010	
1733.1402	SAMEA1403737	Samara	Russia	2008-2010	
1733.1403	SAMEA1403714	Samara	Russia	2008-2010	
1733.1407	SAMEA1404022	Samara	Russia	2008-2010	
1733.1411	SAMEA1403988	Samara	Russia	2008-2010	
1733.1416	SAMEA1403579	Samara	Russia	2008-2010	
1733.1419	SAMEA1403796	Samara	Russia	2008-2010	
1733.1428	SAMEA1403847	Samara	Russia	2008-2010	
1733.1430	SAMEA1403630	Samara	Russia	2008-2010	
1733.1431	SAMEA1403636	Samara	Russia	2008-2010	
1733.1433	SAMEA1403645	Samara	Russia	2008-2010	
1733.1439	SAMEA1403722	Samara	Russia	2008-2010	
1733.1440	SAMEA1403711	Samara	Russia	2008-2010	
1733.1445	SAMEA1403699	Samara	Russia	2008-2010	
1733.1447	SAMEA1403602	Samara	Russia	2008-2010	
1733.1449	SAMEA1403618	Samara	Russia	2008-2010	
1733.1450	SAMEA1403622	Samara	Russia	2008-2010	
1733.1452	SAMEA1403632	Samara	Russia	2008-2010	
1733.1466	SAMEA1403758	Samara	Russia	2008-2010	
1733.1467	SAMEA1403587	Samara	Russia	2008-2010	
1733.1468	SAMEA1403592	Samara	Russia	2008-2010	
1733.1472	SAMEA1403932	Samara	Russia	2008-2010	
1733.1473	SAMEA1404047	Samara	Russia	2008-2010	
1733.1481	SAMEA1403765	Samara	Russia	2008-2010	
1733.1484	SAMEA1403779	Samara	Russia	2008-2010	
1733.1486	SAMEA1404015	Samara	Russia	2008-2010	
1733.1487	SAMEA1404023	Samara	Russia	2008-2010	
1733.1493	SAMEA1403605	Samara	Russia	2008-2010	
1733.1494	SAMEA1403593	Samara	Russia	2008-2010	
1733.1501	SAMEA1469492	Samara	Russia	2008-2010	
1733.1504	SAMEA1469485	Samara	Russia	2008-2010	
1733.1512	SAMEA1469515	Samara	Russia	2008-2010	
1733.1516	SAMEA1469524	Samara	Russia	2008-2010	
1733.1518	SAMEA1469532	Samara	Russia	2008-2010	
1733.2052	SAMEA1707175	Samara	Russia	2008-2010	
1733.2053	SAMEA1707377	Samara	Russia	2008-2010	
1733.2054	SAMEA1707383	Samara	Russia	2008-2010	
1733.2059	SAMEA1707361	Samara	Russia	2008-2010	
1733.2060	SAMEA1707366	Samara	Russia	2008-2010	
1733.2061	SAMEA1707446	Samara	Russia	2008-2010	
1733.2063	SAMEA1707539	Samara	Russia	2008-2010	
1733.2066	SAMEA1707540	Samara	Russia	2008-2010	
1733.2069	SAMEA1707257	Samara	Russia	2008-2010	
1733.2070	SAMEA1707237	Samara	Russia	2008-2010	
1733.2077	SAMEA1707511	Samara	Russia	2008-2010	
1733.2078	SAMEA1707520	Samara	Russia	2008-2010	
1733.2079	SAMEA1707529	Samara	Russia	2008-2010	
1733.2080	SAMEA1707500	Samara	Russia	2008-2010	
1733.2086	SAMEA1707536	Samara	Russia	2008-2010	
1733.2090	SAMEA1707221	Samara	Russia	2008-2010	
1733.2091	SAMEA1707231	Samara	Russia	2008-2010	
1733.2093	SAMEA1707258	Samara	Russia	2008-2010	
1733.2097	SAMEA1707438	Samara	Russia	2008-2010	
1733.2101	SAMEA1707403	Samara	Russia	2008-2010	
1733.2104	SAMEA1707148	Samara	Russia	2008-2010	
1733.2109	SAMEA1707182	Samara	Russia	2008-2010	
1733.2111	SAMEA1707290	Samara	Russia	2008-2010	
1733.2113	SAMEA1707310	Samara	Russia	2008-2010	
1733.2115	SAMEA1707338	Samara	Russia	2008-2010	
1733.2124	SAMEA1707121	Samara	Russia	2008-2010	
1733.2125	SAMEA1707114	Samara	Russia	2008-2010	
1733.2128	SAMEA1707451	Samara	Russia	2008-2010	
1733.2129	SAMEA1707440	Samara	Russia	2008-2010	
1733.2132	SAMEA1707402	Samara	Russia	2008-2010	
1733.2133	SAMEA1707407	Samara	Russia	2008-2010	
1733.2135	SAMEA1707223	Samara	Russia	2008-2010	
1733.2137	SAMEA1707244	Samara	Russia	2008-2010	
1733.2138	SAMEA1707261	Samara	Russia	2008-2010	
1733.2144	SAMEA1707575	Samara	Russia	2008-2010	
1733.2150	SAMEA1707473	Samara	Russia	2008-2010	
1733.2156	SAMEA1707277	Samara	Russia	2008-2010	
1733.2161	SAMEA1707225	Samara	Russia	2008-2010	
1733.2163	SAMEA1707452	Samara	Russia	2008-2010	
1733.2166	SAMEA1707458	Samara	Russia	2008-2010	
1733.2168	SAMEA1707418	Samara	Russia	2008-2010	
1733.2170	SAMEA1707437	Samara	Russia	2008-2010	
1733.2172	SAMEA1707516	Samara	Russia	2008-2010	
1733.2173	SAMEA1707526	Samara	Russia	2008-2010	
1733.2174	SAMEA1707467	Samara	Russia	2008-2010	
1733.2175	SAMEA1707477	Samara	Russia	2008-2010	
1733.2180	SAMEA1707329	Samara	Russia	2008-2010	
1733.2182	SAMEA1707312	Samara	Russia	2008-2010	
1733.2185	SAMEA1707272	Samara	Russia	2008-2010	
1733.2186	SAMEA1707278	Samara	Russia	2008-2010	
1733.2187	SAMEA1707239	Samara	Russia	2008-2010	
1733.2188	SAMEA1707579	Samara	Russia	2008-2010	
1733.2189	SAMEA1707549	Samara	Russia	2008-2010	
1733.2190	SAMEA1707556	Samara	Russia	2008-2010	
1733.2193	SAMEA1707360	Samara	Russia	2008-2010	
1733.2198	SAMEA1707274	Samara	Russia	2008-2010	
1733.2209	SAMEA1707468	Samara	Russia	2008-2010	
1733.2212	SAMEA1707475	Samara	Russia	2008-2010	
1733.2214	SAMEA1707145	Samara	Russia	2008-2010	
1733.2215	SAMEA1707176	Samara	Russia	2008-2010	
1733.2216	SAMEA1707167	Samara	Russia	2008-2010	
1733.2223	SAMEA1707569	Samara	Russia	2008-2010	
1733.2224	SAMEA1707384	Samara	Russia	2008-2010	
1733.2225	SAMEA1707385	Samara	Russia	2008-2010	
1733.2230	SAMEA1707340	Samara	Russia	2008-2010	
1733.2231	SAMEA1707347	Samara	Russia	2008-2010	
1733.2234	SAMEA1707144	Samara	Russia	2008-2010	
1733.2236	SAMEA1707533	Samara	Russia	2008-2010	
1733.2238	SAMEA1707574	Samara	Russia	2008-2010	
1733.2242	SAMEA1707287	Samara	Russia	2008-2010	
1733.2244	SAMEA1707320	Samara	Russia	2008-2010	
1733.2245	SAMEA1707308	Samara	Russia	2008-2010	
1733.2246	SAMEA1707242	Samara	Russia	2008-2010	
1733.2250	SAMEA1707562	Samara	Russia	2008-2010	
1733.2254	SAMEA1707379	Samara	Russia	2008-2010	
1733.2257	SAMEA1707362	Samara	Russia	2008-2010	
1733.2261	SAMEA1707184	Samara	Russia	2008-2010	
1733.2267	SAMEA1707494	Samara	Russia	2008-2010	
1733.2271	SAMEA1707401	Samara	Russia	2008-2010	
1733.2277	SAMEA1707171	Samara	Russia	2008-2010	
1733.2280	SAMEA1707422	Samara	Russia	2008-2010	
1733.2281	SAMEA1707414	Samara	Russia	2008-2010	
1733.2285	SAMEA1707282	Samara	Russia	2008-2010	
1733.2286	SAMEA1707137	Samara	Russia	2008-2010	
1733.2289	SAMEA1707200	Samara	Russia	2008-2010	
1733.2290	SAMEA1707192	Samara	Russia	2008-2010	
1733.2291	SAMEA1707160	Samara	Russia	2008-2010	
1733.2294	SAMEA1707408	Samara	Russia	2008-2010	
1733.2296	SAMEA1707246	Samara	Russia	2008-2010	
1733.2300	SAMEA1707269	Samara	Russia	2008-2010	
1733.2305	SAMEA1707487	Samara	Russia	2008-2010	
1733.2308	SAMEA1707498	Samara	Russia	2008-2010	
1733.2309	SAMEA1707527	Samara	Russia	2008-2010	
1773.5687	SAMEA2297131				
1773.5692	SAMEA2297137				
1773.5695	SAMEA2297141				
1773.5701	SAMEA2297153				
1773.5703	SAMEA2297155				
1773.5713	SAMEA2297167				
1773.5715	SAMEA2297172				
1773.5718	SAMEA2297177				
1773.5719	SAMEA2297178				
1773.5726	SAMEA2297199				
1773.5727	SAMEA2297200				
1773.5538	SAMEA2296953				
1773.5542	SAMEA2296960				
1773.5546	SAMEA2296964				
1773.5547	SAMEA2296965				
1773.5548	SAMEA2296966				
1773.5550	SAMEA2296968				
1773.5561	SAMEA2296979				
1773.5565	SAMEA2296985				
1773.5568	SAMEA2296988				
1773.5569	SAMEA2296989				
1773.5575	SAMEA2296996				
1773.5576	SAMEA2296997				
1773.5577	SAMEA2296998				
1773.5579	SAMEA2297001				
1773.5584	SAMEA2297006				
1773.5586	SAMEA2297008				
1773.5587	SAMEA2297010				
1773.5588	SAMEA2297011				
1773.5590	SAMEA2297013				
1773.5591	SAMEA2297015				
1773.5592	SAMEA2297016				
1773.5599	SAMEA2297023				
1773.5603	SAMEA2297028				
1773.5607	SAMEA2297032				
1773.5611	SAMEA2297036				
1773.5612	SAMEA2297037				
1773.5614	SAMEA2297039				
1773.5615	SAMEA2297040				
1773.5617	SAMEA2297042				
1773.5620	SAMEA2297045				
1773.5621	SAMEA2297046				
1773.5625	SAMEA2297050				
1773.5626	SAMEA2297051				
1773.5629	SAMEA2297058				
1773.5637	SAMEA2297069				
1773.5639	SAMEA2297075				
1773.5650	SAMEA2297087				
1773.5657	SAMEA2297095				
1773.5660	SAMEA2297098				
1773.5661	SAMEA2297099				
1773.5662	SAMEA2297101				
1773.5664	SAMEA2297103				
1773.5665	SAMEA2297104				
1773.5668	SAMEA2297107				
1773.5670	SAMEA2297111				
1773.5671	SAMEA2297112				
1773.5677	SAMEA2297120				
1773.5680	SAMEA2297123				
1773.5681	SAMEA2297124				
1773.5682	SAMEA2297125				
1733.8372	SAMEA2517417	Hamburg	Germany	1998-2015	
1733.8376	SAMEA2517419	Hamburg	Germany	1998-2015	
1733.8386	SAMEA2517423	Hamburg	Germany	1998-2015	
1733.8389	SAMEA2533344		Swaziland	2009-2010	
